Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
22-01-2018,HDFC,EQ,1901.25,1901,1924.35,1863.95,1866.3,1872,1886.09,3649174,6.88265E+14,116325,2412594,0.6611
23-01-2018,HDFC,EQ,1872,1874,1896.9,1870.2,1886,1884.65,1884.34,2158639,4.06761E+14,114007,1493303,0.6918
24-01-2018,HDFC,EQ,1884.65,1886.6,1919.55,1880,1911.25,1911.2,1906.41,3401495,6.48464E+14,81310,2226796,0.6547
25-01-2018,HDFC,EQ,1911.2,1917,1922.5,1883.5,1903.35,1908.3,1903.04,4622281,8.79639E+14,95179,3171131,0.6861
29-01-2018,HDFC,EQ,1908.3,1915,1986.05,1909.9,1971.5,1967.6,1952.87,6305147,1.23132E+15,197733,3423734,0.543
30-01-2018,HDFC,EQ,1967.6,1971.5,1971.5,1927.9,1938,1937.5,1944.82,4066082,7.90779E+14,138016,2602799,0.6401
31-01-2018,HDFC,EQ,1937.5,1932.25,1963.05,1918,1955.85,1956.3,1941.93,3665385,7.11793E+14,154763,2434994,0.6643
01-02-2018,HDFC,EQ,1956.3,1963,1975.3,1931.8,1967,1967.55,1962.16,3838192,7.53115E+14,89711,2532286,0.6598
02-02-2018,HDFC,EQ,1967.55,1946,1946,1895,1900,1903.85,1911.07,3272591,6.25415E+14,138634,2226572,0.6804
05-02-2018,HDFC,EQ,1903.85,1866.1,1886,1811.8,1824.95,1823.35,1834.67,6082208,1.11588E+15,175730,4441369,0.7302
06-02-2018,HDFC,EQ,1823.35,1769,1808.8,1757.05,1796.95,1788.6,1780.84,3601190,6.41313E+14,134925,2137255,0.5935
07-02-2018,HDFC,EQ,1788.6,1795,1806.65,1767.05,1781.75,1785.35,1777.76,3549234,6.3097E+14,125909,2505837,0.706
08-02-2018,HDFC,EQ,1785.35,1788,1836.4,1787.5,1811,1811.8,1815.6,1865933,3.38778E+14,63410,1124668,0.6027
09-02-2018,HDFC,EQ,1811.8,1780.25,1783.45,1762,1776.65,1773.05,1772.51,2773971,4.9169E+14,115913,2083891,0.7512
12-02-2018,HDFC,EQ,1773.05,1777.1,1812.3,1760.7,1811,1805.45,1785.08,3194895,5.70316E+14,80358,2223396,0.6959
14-02-2018,HDFC,EQ,1805.45,1820,1833,1805,1807,1814,1819.21,3923887,7.13839E+14,181306,2984167,0.7605
15-02-2018,HDFC,EQ,1814,1828.9,1851,1819.15,1827.75,1829.5,1837.3,3382968,6.21551E+14,104147,2356040,0.6964
16-02-2018,HDFC,EQ,1829.5,1835.5,1836.95,1804.2,1818.1,1815.5,1817.91,2368880,4.30642E+14,108368,1628688,0.6875
19-02-2018,HDFC,EQ,1815.5,1827.75,1830.2,1801,1814.1,1814.05,1814.54,1603737,2.91004E+14,46217,1024516,0.6388
20-02-2018,HDFC,EQ,1814.05,1832.9,1840,1802.5,1814,1811.75,1821.46,2523482,4.59642E+14,74332,1624600,0.6438
21-02-2018,HDFC,EQ,1811.75,1825,1832.7,1816,1825,1824.8,1824.64,3795216,6.92489E+14,173405,2845173,0.7497
22-02-2018,HDFC,EQ,1824.8,1819.7,1825,1807.7,1824,1819.25,1818.98,6229874,1.1332E+15,128317,4675929,0.7506
23-02-2018,HDFC,EQ,1819.25,1826.85,1827.4,1815.5,1820.2,1824.2,1822.26,2023292,3.68697E+14,123769,1536787,0.7595
26-02-2018,HDFC,EQ,1824.2,1830,1852.75,1821.35,1842,1843.25,1839,2253522,4.14422E+14,90272,1577495,0.7
27-02-2018,HDFC,EQ,1843.25,1850,1851,1819.05,1824.9,1828.65,1830.6,2558313,4.68326E+14,100248,1696314,0.6631
28-02-2018,HDFC,EQ,1828.65,1830,1832,1803.6,1811,1808.7,1818.1,2802070,5.09444E+14,143361,1897543,0.6772
01-03-2018,HDFC,EQ,1808.7,1811,1818.5,1801,1816,1814.15,1813.85,3272003,5.93494E+14,137372,2579712,0.7884
05-03-2018,HDFC,EQ,1814.15,1814,1814,1780.3,1790,1789.6,1791.02,2163209,3.87434E+14,131858,1478427,0.6834
06-03-2018,HDFC,EQ,1789.6,1803.9,1819,1758.1,1769.95,1782.8,1805.46,2899309,5.23459E+14,110964,2015059,0.695
07-03-2018,HDFC,EQ,1782.8,1774.35,1782.2,1756.1,1765,1761.75,1770.42,1624922,2.8768E+14,83682,968915,0.5963
08-03-2018,HDFC,EQ,1761.75,1772.9,1803.55,1771.7,1795,1798.75,1789.27,3174098,5.67932E+14,105887,2155842,0.6792
09-03-2018,HDFC,EQ,1798.75,1801,1834.3,1801,1815,1818.6,1820.94,3000976,5.46461E+14,83063,2108986,0.7028
12-03-2018,HDFC,EQ,1818.6,1831.6,1865.35,1827.05,1857.75,1858.05,1848.13,3242604,5.99275E+14,81062,2233045,0.6887
13-03-2018,HDFC,EQ,1858.05,1850,1881.5,1850,1864.4,1868.5,1872.21,3264920,6.11263E+14,125570,2365937,0.7247
14-03-2018,HDFC,EQ,1868.5,1857.25,1863.8,1836.05,1847.9,1844.7,1844.61,1649636,3.04294E+14,95545,1113976,0.6753
15-03-2018,HDFC,EQ,1844.7,1846,1847.7,1827.4,1834.35,1830,1835.37,1548960,2.84292E+14,64387,1150529,0.7428
16-03-2018,HDFC,EQ,1830,1830,1832,1784.65,1800,1791.4,1798.72,8008654,1.44053E+15,181079,6868829,0.8577
19-03-2018,HDFC,EQ,1791.4,1799,1806.85,1768.45,1776.85,1774.5,1784.86,3986719,7.11572E+14,109159,3239395,0.8125
20-03-2018,HDFC,EQ,1774.5,1771,1808.5,1771,1800,1800.05,1792.48,3441458,6.16876E+14,129212,2556103,0.7427
21-03-2018,HDFC,EQ,1800.05,1820,1830.4,1803.6,1820,1817.85,1820.69,3574861,6.50871E+14,128401,2628909,0.7354
22-03-2018,HDFC,EQ,1817.85,1820,1838.5,1801.75,1811.95,1809.55,1818.65,2664935,4.84658E+14,121407,1384874,0.5197
23-03-2018,HDFC,EQ,1809.55,1787.7,1799.55,1776.1,1790,1789.6,1787.75,2788553,4.98524E+14,106234,2115593,0.7587
26-03-2018,HDFC,EQ,1789.6,1781,1835.35,1778.25,1825.6,1830.15,1812.01,1922453,3.4835E+14,79013,1211814,0.6303
27-03-2018,HDFC,EQ,1830.15,1837.9,1838,1813.9,1823.2,1823.15,1825.01,3597668,6.56576E+14,183773,2864102,0.7961
28-03-2018,HDFC,EQ,1823.15,1821,1830.95,1812.75,1821,1825.6,1823.39,4010323,7.31239E+14,129053,3067992,0.765
02-04-2018,HDFC,EQ,1825.6,1830.95,1854.15,1828.95,1837,1838.05,1837.11,2607397,4.79008E+14,132089,2107655,0.8083
03-04-2018,HDFC,EQ,1838.05,1836,1846.55,1815.6,1824.75,1825.7,1827.19,1950749,3.5644E+14,104223,1403865,0.7197
04-04-2018,HDFC,EQ,1825.7,1830.7,1831.8,1792,1800,1803.3,1807.48,2268911,4.10101E+14,116356,1702563,0.7504
05-04-2018,HDFC,EQ,1803.3,1821,1830,1812.2,1824.45,1824.45,1820.17,3549233,6.46022E+14,69131,3094413,0.8719
06-04-2018,HDFC,EQ,1824.45,1827,1837.8,1820.6,1828,1829,1830.21,3260963,5.96825E+14,115256,2819664,0.8647
09-04-2018,HDFC,EQ,1829,1834.85,1847,1825,1835.1,1836.7,1839.27,1480293,2.72265E+14,89404,1063895,0.7187
