Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
22-01-2018,INFY,EQ,1143.45,1132.15,1156.95,1132,1148.1,1150,1144.31,4825107,5.52143E+14,136884,3164249,0.6558
23-01-2018,INFY,EQ,1150,1155,1188,1155,1176,1177.1,1176.85,7701898,9.06395E+14,178542,4413789,0.5731
24-01-2018,INFY,EQ,1177.1,1174.8,1221.05,1167.5,1182.85,1185.8,1195.52,10302359,1.23167E+15,204464,5942177,0.5768
25-01-2018,INFY,EQ,1185.8,1182,1183.4,1162.25,1173.7,1175.4,1171.54,6774457,7.93655E+14,137327,4319803,0.6377
29-01-2018,INFY,EQ,1175.4,1166.55,1196.25,1165.2,1180.55,1182.9,1185.12,5411501,6.41329E+14,188700,3575679,0.6608
30-01-2018,INFY,EQ,1182.9,1178.9,1183.1,1162.7,1168,1170.65,1169.32,4314156,5.04465E+14,139977,2953957,0.6847
31-01-2018,INFY,EQ,1170.65,1159.15,1166.6,1142.15,1149.1,1150.25,1153.93,4606849,5.316E+14,118772,3306082,0.7176
01-02-2018,INFY,EQ,1150.25,1142.2,1157.9,1118.55,1144,1144.6,1141.19,6502727,7.42085E+14,147460,3808868,0.5857
02-02-2018,INFY,EQ,1144.6,1135.25,1162.9,1130.1,1145.3,1143.25,1144.88,5122243,5.86436E+14,112441,3377137,0.6593
05-02-2018,INFY,EQ,1143.25,1140,1154.85,1135.85,1139.9,1138.2,1143.33,4930110,5.63674E+14,146880,3737354,0.7581
06-02-2018,INFY,EQ,1138.2,1099.95,1128.35,1095.15,1111.4,1107.75,1113.87,5276039,5.8768E+14,136315,3479245,0.6594
07-02-2018,INFY,EQ,1107.75,1116,1124.8,1103.55,1108,1109.05,1113.49,4171028,4.64438E+14,147324,2763817,0.6626
08-02-2018,INFY,EQ,1109.05,1122.8,1146.4,1116.55,1133,1134.25,1138.52,4403622,5.01361E+14,105295,2891380,0.6566
09-02-2018,INFY,EQ,1134.25,1118,1120.3,1106,1112,1109.15,1112.64,2191345,2.43818E+14,88836,1186875,0.5416
12-02-2018,INFY,EQ,1109.15,1114.8,1120.6,1097.8,1101,1102.8,1106.85,3145986,3.48215E+14,52343,1986846,0.6315
14-02-2018,INFY,EQ,1102.8,1106,1117.3,1090.2,1091,1097.75,1106.89,4172856,4.61891E+14,113292,3010045,0.7213
15-02-2018,INFY,EQ,1097.75,1103,1129.7,1103,1113.5,1114.45,1118.96,3993368,4.46841E+14,99941,2439471,0.6109
16-02-2018,INFY,EQ,1114.45,1125,1141.65,1118.1,1124.65,1128.05,1128.32,4944611,5.57913E+14,108882,3112620,0.6295
19-02-2018,INFY,EQ,1128.05,1128.4,1136,1120.3,1134.2,1131.75,1129.16,3230920,3.64823E+14,83364,1826082,0.5652
20-02-2018,INFY,EQ,1131.75,1103.75,1149.5,1103.75,1135,1136.95,1141.14,3594297,4.10161E+14,97878,1847456,0.514
21-02-2018,INFY,EQ,1136.95,1147.5,1151.9,1140,1145,1147.4,1146.98,6885679,7.89774E+14,169230,5474712,0.7951
22-02-2018,INFY,EQ,1147.4,1145.55,1164,1140.45,1159,1160.75,1157.22,8929987,1.0334E+15,151810,6801311,0.7616
23-02-2018,INFY,EQ,1160.75,1163.5,1166,1146.75,1154.4,1155.65,1158.08,4729914,5.47764E+14,128746,3177897,0.6719
26-02-2018,INFY,EQ,1155.65,1151,1155.05,1134.35,1139.95,1138.6,1142.81,2541804,2.90479E+14,76083,1626562,0.6399
27-02-2018,INFY,EQ,1138.6,1144.95,1153.65,1125.65,1147.7,1150.2,1139.08,3308013,3.7681E+14,140175,2156356,0.6519
28-02-2018,INFY,EQ,1150.2,1147.6,1189.5,1142.55,1169.85,1172.6,1172.09,8634208,1.012E+15,229051,5049780,0.5849
01-03-2018,INFY,EQ,1172.6,1169.6,1169.6,1156.05,1160.25,1160.75,1161.83,3289926,3.82234E+14,95568,2089661,0.6352
05-03-2018,INFY,EQ,1160.75,1160.75,1170.8,1143.25,1159.7,1155.9,1158.68,4050728,4.69351E+14,150137,2407810,0.5944
06-03-2018,INFY,EQ,1155.9,1162.55,1165.4,1143.6,1146.25,1151.35,1157.61,3344867,3.87205E+14,123734,2349339,0.7024
07-03-2018,INFY,EQ,1151.35,1155,1160,1138.05,1147.8,1144.1,1148.31,3185208,3.65759E+14,91049,2099037,0.659
08-03-2018,INFY,EQ,1144.1,1149,1165.8,1149,1158,1156.65,1158.61,3046507,3.52972E+14,110975,1784229,0.5857
09-03-2018,INFY,EQ,1156.65,1162.35,1166,1155.55,1164,1163.4,1162.36,2110482,2.45314E+14,83674,1167092,0.553
12-03-2018,INFY,EQ,1163.4,1176,1191.85,1171.75,1184,1185.75,1186.26,3838485,4.55346E+14,82530,2208283,0.5753
13-03-2018,INFY,EQ,1185.75,1180.2,1197,1175.15,1182,1183.8,1187.19,4290526,5.09365E+14,101093,2931653,0.6833
14-03-2018,INFY,EQ,1183.8,1180,1190.6,1169.1,1181.1,1180.8,1180.26,2214855,2.61411E+14,54069,1203746,0.5435
15-03-2018,INFY,EQ,1180.8,1180,1188.4,1172,1181.9,1182.5,1180.88,3050750,3.60257E+14,49232,2081521,0.6823
16-03-2018,INFY,EQ,1182.5,1182,1182.4,1169.25,1170,1171.9,1172.96,8977413,1.05302E+15,156251,7733842,0.8615
19-03-2018,INFY,EQ,1171.9,1164,1180.5,1142.65,1148,1146.75,1156.94,3763310,4.35394E+14,114366,2314477,0.615
20-03-2018,INFY,EQ,1146.75,1148.6,1170,1148.6,1164.55,1164.55,1159.74,4276883,4.96008E+14,111232,3115015,0.7283
21-03-2018,INFY,EQ,1164.55,1170,1175.5,1162.2,1166.2,1167.5,1171.53,3846497,4.50627E+14,121529,3113984,0.8096
22-03-2018,INFY,EQ,1167.5,1164.5,1177.45,1155.3,1156,1161.3,1167.57,3406584,3.97743E+14,82774,2545448,0.7472
23-03-2018,INFY,EQ,1161.3,1147,1173.8,1142.35,1165,1167.6,1164.59,6004042,6.99225E+14,117145,4213799,0.7018
26-03-2018,INFY,EQ,1167.6,1166.9,1166.9,1144,1155.6,1155.25,1153.17,4465361,5.14932E+14,101964,3248748,0.7275
27-03-2018,INFY,EQ,1155.25,1160,1161.3,1150.1,1152.1,1154,1154.45,1901044,2.19466E+14,67860,1174247,0.6177
28-03-2018,INFY,EQ,1154,1150.75,1150.75,1126.25,1140,1131.8,1136.18,6279161,7.13425E+14,118878,4775433,0.7605
02-04-2018,INFY,EQ,1131.8,1141,1149.55,1121.3,1136.7,1137.15,1135.86,4036351,4.58472E+14,142078,2960225,0.7334
03-04-2018,INFY,EQ,1137.15,1134.7,1143.55,1128.1,1139.4,1140.45,1135.21,2038584,2.31423E+14,114034,1366638,0.6704
04-04-2018,INFY,EQ,1140.45,1144,1144.55,1120,1122.7,1124.2,1131.81,2406651,2.72388E+14,137029,1472105,0.6117
05-04-2018,INFY,EQ,1124.2,1139.55,1151.3,1129.1,1146.05,1147.55,1140.71,3881772,4.42799E+14,101745,2899162,0.7469
06-04-2018,INFY,EQ,1147.55,1143,1146,1122.1,1127.55,1127,1128.81,2968871,3.35129E+14,137277,1891236,0.637
09-04-2018,INFY,EQ,1127,1125,1125.8,1106.55,1111.45,1111.25,1113.12,3601441,4.00883E+14,171118,2529586,0.7024
10-04-2018,INFY,EQ,1111.25,1112,1124.5,1105.4,1114.65,1113.4,1115.77,4463029,4.97973E+14,144468,3520250,0.7888
11-04-2018,INFY,EQ,1113.4,1118,1131.5,1116.5,1124.5,1124.25,1124.78,4512787,5.07589E+14,102586,3296304,0.7304
12-04-2018,INFY,EQ,1124.25,1129.45,1172.75,1125,1164.05,1162.6,1157.71,8522183,9.86619E+14,216130,5624945,0.66
13-04-2018,INFY,EQ,1162.6,1174,1185.9,1150.25,1168,1171.45,1172.37,10613519,1.24429E+15,180965,5370870,0.506
16-04-2018,INFY,EQ,1171.45,1102,1140,1102,1134.5,1133.2,1125.66,12372542,1.39272E+15,201992,5012390,0.4051
17-04-2018,INFY,EQ,1133.2,1127,1127.4,1115,1124.65,1125.2,1121.63,5198970,5.83132E+14,203792,3086531,0.5937
18-04-2018,INFY,EQ,1125.2,1122.85,1134.75,1113.85,1125.95,1125.95,1124.27,5215190,5.86331E+14,121114,3220905,0.6176
19-04-2018,INFY,EQ,1125.95,1124,1139.8,1123.1,1133.4,1132.85,1132.61,4262771,4.82804E+14,119470,3277709,0.7689
20-04-2018,INFY,EQ,1132.85,1139,1193.7,1136.95,1179.65,1178.45,1171.78,12136346,1.42211E+15,213680,7374221,0.6076
23-04-2018,INFY,EQ,1178.45,1168,1214.4,1155.25,1185.95,1187.7,1186.79,10915319,1.29542E+15,190031,5762099,0.5279
24-04-2018,INFY,EQ,1187.7,1185,1196.4,1150.1,1154.25,1154.5,1168.64,4263108,4.98204E+14,87918,2175530,0.5103
25-04-2018,INFY,EQ,1154.5,1152,1171,1145.2,1155.95,1160.35,1160.85,5797089,6.72955E+14,122892,3549969,0.6124
26-04-2018,INFY,EQ,1160.35,1174,1181.65,1160,1177.05,1176.45,1172.76,5651042,6.62732E+14,120489,3710955,0.6567
27-04-2018,INFY,EQ,1176.45,1180,1191.6,1174.2,1184.65,1185.2,1183.9,3831685,4.53632E+14,103259,2521063,0.658
30-04-2018,INFY,EQ,1185.2,1181.7,1207.95,1180.65,1199.95,1199.5,1199.78,2755839,3.3064E+14,80599,1748528,0.6345
02-05-2018,INFY,EQ,1199.5,1198.9,1201.6,1181,1192.1,1197.05,1192.72,5147521,6.13957E+14,98610,3916029,0.7608
03-05-2018,INFY,EQ,1197.05,1197.25,1204.7,1176.1,1178,1182.55,1195.66,2666115,3.18776E+14,114003,1634945,0.6132
04-05-2018,INFY,EQ,1182.55,1185,1186,1155,1169.6,1173.1,1165.5,3011684,3.51013E+14,92619,1501133,0.4984
07-05-2018,INFY,EQ,1173.1,1181.25,1190,1175.5,1184,1183,1181.67,2319480,2.74086E+14,66189,1381557,0.5956
08-05-2018,INFY,EQ,1183,1177.9,1177.9,1161.05,1167.5,1165.55,1167.51,2859278,3.33825E+14,121067,1833756,0.6413
09-05-2018,INFY,EQ,1165.55,1167.5,1176.9,1163,1172,1170.7,1169.95,1891752,2.21326E+14,50914,1226653,0.6484
10-05-2018,INFY,EQ,1170.7,1176,1183,1162.85,1170,1168,1173.06,1591431,1.86684E+14,55801,925580,0.5816
11-05-2018,INFY,EQ,1168,1172.3,1183.2,1166.05,1180.6,1180.75,1174.3,1655853,1.94447E+14,51911,1040917,0.6286
14-05-2018,INFY,EQ,1180.75,1184.35,1191.5,1170,1190.5,1189.3,1184.18,2216047,2.62419E+14,118716,1385502,0.6252
15-05-2018,INFY,EQ,1189.3,1188.1,1208,1188.1,1195.2,1194.55,1196.6,2805987,3.35765E+14,169798,1400617,0.4992
16-05-2018,INFY,EQ,1194.55,1187.25,1198,1184.5,1190.7,1189.95,1191.85,3102502,3.69772E+14,80951,2232738,0.7197
17-05-2018,INFY,EQ,1189.95,1196,1197.45,1173.55,1180,1182.9,1186.19,4759799,5.64603E+14,108694,3495536,0.7344
18-05-2018,INFY,EQ,1182.9,1183,1186.55,1173,1180,1183.2,1181.08,3569830,4.21624E+14,118691,2739080,0.7673
21-05-2018,INFY,EQ,1183.2,1179.55,1188.4,1170,1183.2,1179.5,1182.21,4237660,5.0098E+14,94593,3233546,0.763
22-05-2018,INFY,EQ,1179.5,1175,1198,1173.9,1195,1193.85,1189.56,2818402,3.35266E+14,92075,1959648,0.6953
23-05-2018,INFY,EQ,1193.85,1195,1207.65,1181.5,1182.95,1184.9,1198.4,4769221,5.71543E+14,155510,3565469,0.7476
24-05-2018,INFY,EQ,1184.9,1198,1227.55,1198,1220,1221,1217.23,4870285,5.92824E+14,115622,2635888,0.5412
25-05-2018,INFY,EQ,1221,1230.1,1248.65,1220.8,1229.55,1228.3,1239.09,4450719,5.51486E+14,165203,2833196,0.6366
28-05-2018,INFY,EQ,1228.3,1231,1232.6,1206,1212.1,1214.4,1218.07,2869897,3.49573E+14,114363,1860121,0.6481
29-05-2018,INFY,EQ,1214.4,1214.05,1226.55,1206.2,1219.9,1216.7,1214.01,1694467,2.05711E+14,97963,1020909,0.6025
30-05-2018,INFY,EQ,1216.7,1217,1228.75,1205.6,1210.4,1211.7,1214.64,3161533,3.84011E+14,113600,1820341,0.5758
31-05-2018,INFY,EQ,1211.7,1211.7,1242,1210.25,1238,1231.8,1230.2,9860170,1.213E+15,163732,6917924,0.7016
01-06-2018,INFY,EQ,1231.8,1230.4,1246.25,1217.2,1222.2,1220.8,1229.79,2499178,3.07347E+14,81969,1396541,0.5588
