Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
22-01-2018,ITC,EQ,274.55,275,275.5,271.7,272.7,273.65,272.84,8339156,2.27526E+14,60237,5666863,0.6795
23-01-2018,ITC,EQ,273.65,274,277.25,273.55,276.8,276.6,275.57,18244388,5.02764E+14,97311,12780157,0.7005
24-01-2018,ITC,EQ,276.6,276.65,282,276.05,280.55,281.45,279.68,17305234,4.83985E+14,112197,9624564,0.5562
25-01-2018,ITC,EQ,281.45,281,283.2,278.6,280.7,281.25,280.8,13124518,3.68531E+14,132581,8662694,0.66
29-01-2018,ITC,EQ,281.25,281.15,283.3,275,275.2,275.65,277.08,9569723,2.65157E+14,100959,6348137,0.6634
30-01-2018,ITC,EQ,275.65,275,276.45,271.95,275.75,275.2,274.41,13057276,3.58306E+14,107090,9915146,0.7594
31-01-2018,ITC,EQ,275.2,273.9,276,269.85,271.35,271.4,272.88,18945945,5.1699E+14,141071,14159972,0.7474
01-02-2018,ITC,EQ,271.4,272,290.3,267.4,275.5,275.3,279.2,59362154,1.65741E+15,283270,28442761,0.4791
02-02-2018,ITC,EQ,275.3,274.4,285.65,270.8,274.5,275.35,278.35,35008302,9.74473E+14,220209,14500461,0.4142
05-02-2018,ITC,EQ,275.35,273.55,281.7,271.85,279.8,279.25,278.26,19706340,5.48354E+14,190487,11075339,0.562
06-02-2018,ITC,EQ,279.25,269.95,277.3,268.15,274.75,273.5,273.27,15822723,4.32386E+14,113591,7613464,0.4812
07-02-2018,ITC,EQ,273.5,278,278.75,274,275.2,275.15,275.53,12956103,3.56974E+14,67020,8107873,0.6258
08-02-2018,ITC,EQ,275.15,275.7,276.9,272.65,273.9,274.1,274.87,9779911,2.68818E+14,87155,6440637,0.6586
09-02-2018,ITC,EQ,274.1,271,272.5,267.8,271.5,271.35,270.18,14204123,3.83764E+14,94584,7220210,0.5083
12-02-2018,ITC,EQ,271.35,272.45,273.85,269.3,270,269.85,270.82,6713679,1.81822E+14,53879,3880858,0.5781
14-02-2018,ITC,EQ,269.85,270,271,265.1,265.7,266.5,268.33,11303222,3.03303E+14,127975,7831704,0.6929
15-02-2018,ITC,EQ,266.5,266.5,269.9,264.8,268,268.1,267.87,11736246,3.14381E+14,120288,7013377,0.5976
16-02-2018,ITC,EQ,268.1,269.85,270.75,265.6,266.15,266.45,267.53,6164187,1.64912E+14,44559,3090428,0.5014
19-02-2018,ITC,EQ,266.45,266,267.8,262.5,263.6,264.1,264.81,6069585,1.60728E+14,65593,2975487,0.4902
20-02-2018,ITC,EQ,264.1,264,265.8,262.15,263.85,263.25,263.65,9301017,2.45222E+14,60656,5456967,0.5867
21-02-2018,ITC,EQ,263.25,264,268.95,263.45,268.05,268.2,267.23,10555155,2.82063E+14,81624,6529636,0.6186
22-02-2018,ITC,EQ,268.2,267.2,269,265.45,267.05,267.1,267.14,19118686,5.10742E+14,84590,10876435,0.5689
23-02-2018,ITC,EQ,267.1,267.45,270,266.1,268.7,269.05,268.63,6529253,1.75396E+14,84763,4288142,0.6568
26-02-2018,ITC,EQ,269.05,268.55,269.5,266,266.05,266.55,267.63,8378818,2.24245E+14,73749,6408150,0.7648
27-02-2018,ITC,EQ,266.55,268,268.2,265.5,266.6,266.4,266.25,7429924,1.9782E+14,57606,4484755,0.6036
28-02-2018,ITC,EQ,266.4,265,266.3,263.05,264.9,265.05,264.89,13451146,3.56309E+14,109063,10095138,0.7505
01-03-2018,ITC,EQ,265.05,264.2,266.1,262.85,263.65,264,263.84,7781553,2.05312E+14,117805,5511456,0.7083
05-03-2018,ITC,EQ,264,263.3,263.3,260,260.05,260.25,260.87,6623613,1.72789E+14,71775,4600299,0.6945
06-03-2018,ITC,EQ,260.25,261.05,262.4,255.5,256,256.5,259.23,8180373,2.12064E+14,66375,5041650,0.6163
07-03-2018,ITC,EQ,256.5,256.5,260.5,253.55,259.75,259.9,258.51,15153219,3.91719E+14,127773,9418574,0.6216
08-03-2018,ITC,EQ,259.9,260.3,261.9,257.75,258.25,258.85,259.9,6027032,1.5664E+14,53562,3144893,0.5218
09-03-2018,ITC,EQ,258.85,259,260.9,258.25,259.3,259.25,259.85,6110339,1.58775E+14,65272,3772520,0.6174
12-03-2018,ITC,EQ,259.25,264,270.85,262.95,269.9,270.1,267.45,19900387,5.32245E+14,139786,10466779,0.526
13-03-2018,ITC,EQ,270.1,269.65,272,267.2,269.75,269.45,269.99,8326884,2.2482E+14,50824,4195715,0.5039
14-03-2018,ITC,EQ,269.45,268.05,269.05,265.3,267.75,268.05,267.56,7907101,2.11561E+14,66259,4740412,0.5995
15-03-2018,ITC,EQ,268.05,267,269.9,265.2,265.75,265.55,267.01,5557668,1.48396E+14,49638,3076752,0.5536
16-03-2018,ITC,EQ,265.55,266.4,266.4,258.85,261.35,260.5,261.06,20680532,5.39882E+14,124346,16697180,0.8074
19-03-2018,ITC,EQ,260.5,260.55,262.2,258.3,259.1,259.15,260.46,12926158,3.36671E+14,119296,8980768,0.6948
20-03-2018,ITC,EQ,259.15,258.15,259.95,257.5,259.5,259.2,258.78,7481088,1.93595E+14,80878,4621250,0.6177
21-03-2018,ITC,EQ,259.2,260.05,261.65,258.7,259.3,259.05,259.88,12920867,3.3579E+14,70521,7066968,0.5469
22-03-2018,ITC,EQ,259.05,260,261.45,257.85,258.85,258.3,259.3,8011131,2.07731E+14,65618,5110050,0.6379
23-03-2018,ITC,EQ,258.3,256,258.8,254.75,255.45,256,256.75,11185677,2.87195E+14,109077,6922671,0.6189
26-03-2018,ITC,EQ,256,252.9,260,252.5,258.75,258.1,257.28,12499724,3.21597E+14,123750,8038588,0.6431
27-03-2018,ITC,EQ,258.1,258.8,260.5,256.9,259.05,258.9,258.34,8769415,2.26552E+14,82531,5816375,0.6633
28-03-2018,ITC,EQ,258.9,258,258.95,254.35,255,255.5,256.7,12270479,3.14984E+14,75788,7370683,0.6007
02-04-2018,ITC,EQ,255.5,257,258.95,255.45,258.8,258.25,256.75,7029064,1.80469E+14,85556,4975902,0.7079
